repo,created_at,age_days,merged_pull_requests
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,3018,157
sindresorhus/awesome,2014-07-11T13:42:37Z,4416,700
public-apis/public-apis,2016-03-20T23:49:42Z,3797,2119
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,4249,29085
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,4689,7417
openclaw/openclaw,2025-11-24T10:16:47Z,262,24550
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,3438,4388
donnemartin/system-design-primer,2017-02-26T16:15:28Z,3455,210
jwasham/coding-interview-university,2016-06-06T02:34:12Z,3720,415
vinta/awesome-python,2014-06-27T21:00:06Z,4429,738
