repo,updated_at,time_since_update_days,total_releases
codecrafters-io/build-your-own-x,2026-08-11T21:37:06Z,0,0
sindresorhus/awesome,2026-08-11T21:58:33Z,0,0
public-apis/public-apis,2026-08-11T21:53:22Z,0,0
freeCodeCamp/freeCodeCamp,2026-08-11T21:58:58Z,0,0
EbookFoundation/free-programming-books,2026-08-11T21:52:05Z,0,0
openclaw/openclaw,2026-08-11T22:05:51Z,0,233
nilbuild/developer-roadmap,2026-08-11T21:58:34Z,0,1
donnemartin/system-design-primer,2026-08-11T22:00:30Z,0,0
jwasham/coding-interview-university,2026-08-11T21:57:39Z,0,0
vinta/awesome-python,2026-08-11T22:03:52Z,0,0
