repo,updated_at,time_since_update_days
codecrafters-io/build-your-own-x,2026-08-13T17:19:36Z,0
sindresorhus/awesome,2026-08-13T17:20:56Z,0
public-apis/public-apis,2026-08-13T17:22:45Z,0
freeCodeCamp/freeCodeCamp,2026-08-13T17:11:44Z,0
EbookFoundation/free-programming-books,2026-08-13T17:11:56Z,0
openclaw/openclaw,2026-08-13T17:23:42Z,0
nilbuild/developer-roadmap,2026-08-13T16:55:31Z,0
donnemartin/system-design-primer,2026-08-13T17:00:38Z,0
jwasham/coding-interview-university,2026-08-13T17:14:30Z,0
vinta/awesome-python,2026-08-13T17:00:53Z,0
