repo,primary_language,closed_issues,open_issues,total_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,Markdown,677,265,942,0.7186836518046709
sindresorhus/awesome,,352,16,368,0.9565217391304348
public-apis/public-apis,Python,911,10,921,0.98914223669924
freeCodeCamp/freeCodeCamp,TypeScript,21880,174,22054,0.9921102747800853
EbookFoundation/free-programming-books,Python,1254,38,1292,0.9705882352941176
openclaw/openclaw,TypeScript,43441,3414,46855,0.9271369117490129
nilbuild/developer-roadmap,TypeScript,3183,1,3184,0.9996859296482412
donnemartin/system-design-primer,Python,127,272,399,0.3182957393483709
jwasham/coding-interview-university,,455,81,536,0.8488805970149254
vinta/awesome-python,Python,0,0,0,
