repo,closed_issues,open_issues,total_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,677,265,942,0.7186836518046709
sindresorhus/awesome,352,16,368,0.9565217391304348
public-apis/public-apis,911,10,921,0.98914223669924
freeCodeCamp/freeCodeCamp,21880,174,22054,0.9921102747800853
EbookFoundation/free-programming-books,1254,38,1292,0.9705882352941176
openclaw/openclaw,43442,3416,46858,0.9270988945324171
nilbuild/developer-roadmap,3183,1,3184,0.9996859296482412
donnemartin/system-design-primer,127,272,399,0.3182957393483709
jwasham/coding-interview-university,455,81,536,0.8488805970149254
vinta/awesome-python,0,0,0,
