repo,created_at,age_days,merged_pull_requests,total_releases,updated_at,time_since_update_days,primary_language,closed_issues,open_issues,total_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,3018,157,0,2026-08-13T17:30:55Z,0,Markdown,677,267,944,0.7171610169491526
sindresorhus/awesome,2014-07-11T13:42:37Z,4416,700,0,2026-08-13T17:35:51Z,0,,352,16,368,0.9565217391304348
public-apis/public-apis,2016-03-20T23:49:42Z,3797,2119,0,2026-08-13T17:22:45Z,0,Python,911,10,921,0.98914223669924
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,4249,29086,0,2026-08-13T17:35:00Z,0,TypeScript,21885,174,22059,0.9921120631034952
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,4689,7417,0,2026-08-13T17:33:06Z,0,Python,1254,38,1292,0.9705882352941176
openclaw/openclaw,2025-11-24T10:16:47Z,262,24552,233,2026-08-13T17:23:42Z,0,TypeScript,43521,3393,46914,0.9276761734237114
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,3438,4388,1,2026-08-13T17:30:39Z,0,TypeScript,3183,1,3184,0.9996859296482412
donnemartin/system-design-primer,2017-02-26T16:15:28Z,3455,210,0,2026-08-13T17:33:34Z,0,Python,127,272,399,0.3182957393483709
jwasham/coding-interview-university,2016-06-06T02:34:12Z,3720,415,0,2026-08-13T17:31:33Z,0,,455,81,536,0.8488805970149254
vinta/awesome-python,2014-06-27T21:00:06Z,4429,738,0,2026-08-13T17:32:44Z,0,Python,0,0,0,
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,4091,0,1,2026-08-13T17:23:35Z,0,,0,0,0,
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,3410,194,0,2026-08-13T17:35:53Z,0,Python,88,151,239,0.3682008368200837
996icu/996.ICU,2019-03-26T07:31:14Z,2697,1071,0,2026-08-13T16:44:35Z,0,,0,0,0,
obra/superpowers,2025-10-09T19:45:18Z,307,167,12,2026-08-13T17:35:20Z,0,Shell,692,149,841,0.8228299643281808
react/react,2013-05-24T16:15:54Z,4829,13033,132,2026-08-13T17:20:02Z,0,JavaScript,13799,813,14612,0.9443607993430058
torvalds/linux,2011-09-04T22:48:12Z,5456,0,0,2026-08-13T17:13:37Z,0,C,0,0,0,
affaan-m/ECC,2026-01-18T00:51:51Z,207,990,15,2026-08-13T17:33:53Z,0,JavaScript,663,40,703,0.9431009957325747
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2973,122,0,2026-08-13T17:35:30Z,0,,0,0,0,
NousResearch/hermes-agent,2025-07-22T22:22:28Z,386,10472,24,2026-08-13T17:34:28Z,0,Python,10652,10650,21302,0.500046943948925
TheAlgorithms/Python,2016-07-16T09:44:01Z,3680,3088,0,2026-08-13T17:33:45Z,0,Python,1606,143,1749,0.9182389937106918
mattpocock/skills,2026-02-03T11:15:53Z,191,86,7,2026-08-13T17:33:44Z,0,Shell,300,325,625,0.48
vuejs/vue,2013-07-29T03:24:51Z,4763,1136,249,2026-08-13T17:23:33Z,0,TypeScript,9670,365,10035,0.9636273044344793
ossu/computer-science,2014-05-04T00:18:39Z,4484,315,0,2026-08-13T17:27:18Z,0,HTML,658,16,674,0.9762611275964391
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,198,12,0,2026-08-13T17:33:26Z,0,,0,0,0,
n8n-io/n8n,2019-06-22T09:24:21Z,2609,19900,760,2026-08-13T17:29:55Z,0,TypeScript,9644,339,9983,0.9660422718621657
anomalyco/opencode,2025-04-30T20:08:00Z,469,7086,860,2026-08-13T17:29:32Z,0,TypeScript,19646,3906,23552,0.8341542119565217
tensorflow/tensorflow,2015-11-07T01:19:20Z,3932,48860,222,2026-08-13T17:28:53Z,0,C++,40897,781,41678,0.981261096981621
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,3064,309,0,2026-08-13T17:12:12Z,0,JavaScript,238,135,373,0.6380697050938338
ultraworkers/claw-code,2026-03-31T08:58:08Z,135,141,0,2026-08-13T17:23:08Z,0,Rust,2195,16,2211,0.9927634554500226
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,805,0,0,2026-08-13T17:33:11Z,0,Markdown,0,0,0,
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,6193,3650,0,2026-08-13T17:30:48Z,0,Shell,4926,151,5077,0.9702580263935395
microsoft/vscode,2015-09-03T20:23:38Z,3996,51838,233,2026-08-13T17:31:50Z,0,TypeScript,233318,17384,250702,0.9306587103413615
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2404,7,31,2026-08-13T17:19:51Z,0,Batchfile,1065,4,1069,0.9962581852198317
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,1246,4748,117,2026-08-13T16:52:17Z,0,Python,3638,301,3939,0.9235846661589235
