repo,created_at,age_days,merged_pull_requests
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,3016,157
sindresorhus/awesome,2014-07-11T13:42:37Z,4414,700
public-apis/public-apis,2016-03-20T23:49:42Z,3795,2105
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,4247,29066
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,4687,7417
openclaw/openclaw,2025-11-24T10:16:47Z,260,23919
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,3436,4387
donnemartin/system-design-primer,2017-02-26T16:15:28Z,3452,210
jwasham/coding-interview-university,2016-06-06T02:34:12Z,3718,415
vinta/awesome-python,2014-06-27T21:00:06Z,4427,738
