file,kata,participant,treatment,trial_id,loc,sloc,lloc,comments,blank,functions_count,cc_avg,cc_max,cc_min,cc_total,cc_rank,duplicated_lines,duplication_percentage,clones_count,duplication_tool,mi,mi_rank,status,error_message
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\claude-sonnet-5\solution.py,01-bario-world,joao,ai,trial-joao-01,65,50,50,5,10,2,8.0,14,2,16,B,0,0.0,0,python-cpd,59.52,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\claude-sonnet-5\solution.py,02-cards,joao,ai,trial-joao-02,38,25,27,3,12,1,7.0,7,7,7,B,0,0.0,0,python-cpd,70.68,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\claude-sonnet-5\solution.py,03-exploring-terrain,joao,ai,trial-joao-03,69,53,61,0,16,1,11.0,11,11,11,C,0,0.0,0,python-cpd,40.84,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\claude-sonnet-5\solution.py,04-garment-groups,joao,ai,trial-joao-04,15,8,8,3,4,1,1.0,1,1,1,A,0,0.0,0,python-cpd,99.61,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\05-dish-rack\claude-sonnet-5\solution.py,05-dish-rack,joao,ai,trial-joao-05,82,51,52,9,12,2,4.0,5,3,8,A,0,0.0,0,python-cpd,70.52,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\06-n-checkers\claude-sonnet-5\solution.py,06-n-checkers,joao,ai,trial-joao-06,42,34,34,0,8,1,6.0,6,6,6,B,0,0.0,0,python-cpd,47.85,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\01-bario-world\jaoppb\solution.py,01-bario-world,joao,manual,trial-joao-manual-01,58,47,47,0,11,0,16.0,16,16,16,C,0,0.0,0,python-cpd,43.29,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\02-cards\jaoppb\solution.py,02-cards,joao,manual,trial-joao-manual-02,20,15,15,0,5,0,5.0,5,5,5,A,0,0.0,0,python-cpd,60.91,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\03-exploring-terrain\jaoppb\solution.py,03-exploring-terrain,joao,manual,trial-joao-manual-03,41,30,30,0,11,2,2.0,2,2,4,A,0,0.0,0,python-cpd,49.22,A,ok,
D:\Faculdade\LabExpSoftware\laboratorio-experimentacao-de-software\laboratorio-experimentacao-de-software\lab02\katas\04-garment-groups\jaoppb\solution.py,04-garment-groups,joao,manual,trial-joao-manual-04,2,2,2,0,0,0,1.0,1,1,1,A,0,0.0,0,python-cpd,88.56,A,ok,
